Job,Salary,Company,Location
Analista de datos y procesos/Lunes-Viernes/Prestaciones,,"Computación, Datos y Tecnología, S...",Edo. Méx.​
Analista de Datos Financieros | Proyecto 6 meses,,"Manpower, S.A. de C.V.",CDMX
Analista Modelador de Datos-Desarrollador SQL,,Consiss,N.L.
Analista MIS - Analista de bases de datos (call center),,"JURÍDICO COLEMART, S.C.",CDMX
"Analista de base de datos, ETL SSIS",,Alia,Ciudad de México
Analista de bases de datos (sql) JR,,"Compartamos Servicios, S.A. de C.V.",Ciudad de México
Becario Analista de Base de Datos Programación,,Adecco,CDMX
Analista de base de datos SQL Server,,Enlaces y Comunicaciones Avanzadas...,CDMX
ANALISTA COMERCIAL-BASES DE DATOS (EXCEL),,"WALDO'S DOLAR MART DE MEXICO, S DE...",Edo. Méx.​
Analista de bases de datos (SAS / SQL),,Banamex,Ciudad de México
Analista de datos manejo de R python vivir cerca de Vallejo,,MARKETING EQUIPMENT MANAGEMENT SA ...,CDMX
Analista de trafico y datos-Work Force Management,,BANCO DEL BAJIO S.A.,Gto.
Analista comercial de base de datos,,"WALDO'S DOLAR MART DE MEXICO, S DE...",CDMX
Analista comercial de base de datos,"$16,000  Mensual","WALDO'S DOLAR MART DE MEXICO, S DE...",Edo. Méx.​
ANALISTA DE ESTADISTICA Y BASES DE DATOS,"$12,400  Mensual",Seguros Pensiones Banorte,CDMX
Analista de información (minería de datos),,Crédito Real,CDMX
Analista Operador de Centro de Datos,,Tecnológico de Monterrey,N.L.
Analista de Inteligencia de Negocio & Gobierno de Datos,,AXA,Ciudad de México
Analista de cuentas/ Bases de datos/ Nuevos proyectos,"$20,000 - $22,000  Mensual","Computación, Datos y Tecnología, S...",Edo. Méx.​
"Analista Oracle, SQL, Excel, Análisi de Datos, PBI, Project)",,"Internacional de Sistemas, S.A. De...",N.L.
Analista de Ventas Bilingüe,,"Balmex, S. de R.L. de C.V.",Edo. Méx.​
Junior Data Analyst,,JUAN CARLOS CEPEDA.,CDMX
Analista de sistemas,,MC1 TECNOLOGIA LTDA,Ciudad de México
ANALISTA BI,,IZZI,CDMX
Analista Financiero,,Consultoría Profesional en Sistemas,Ciudad de México
analista de sistemas Jr.,,Compañía Integra Soluciones,N.L.
Analista Senior de BI,,METCO SA DE CV,CDMX
Analista estadístico Jr./ Lunes a Viernes,,,Edo. Méx.​
Analista de Información Comercial,,CRYSTAL EJECUTIVO S.A. DE C.V,CDMX
Analista de Riesgos,,Siempre Creciendo S.A. de C.V. SOF...,CDMX
Power Bi Home office,,Alia,Edo. Méx.​
Analista Sr. de Información e Indicadores,,PENDULUM S DE RL DE CV,CDMX
